9.983527660369873047e-01 -5.272680282592773438e+00 0.000000000000000000e+00 -5.962166562676429749e-02
9.938151836395263672e-01 -5.227470874786376953e+00 0.000000000000000000e+00 -1.698756031692028046e-02
9.954658150672912598e-01 -5.226312160491943359e+00 0.000000000000000000e+00 -1.210137363523244858e-02
9.931955933570861816e-01 -5.246289730072021484e+00 0.000000000000000000e+00 -1.658036187291145325e-02
1.002078413963317871e+00 -5.227735519409179688e+00 0.000000000000000000e+00 -1.334779150784015656e-02
9.949280619621276855e-01 -5.218948841094970703e+00 0.000000000000000000e+00 -4.194314591586589813e-03
1.004610061645507812e+00 -5.262727260589599609e+00 0.000000000000000000e+00 -4.507220536470413208e-02
9.961985349655151367e-01 -5.220433712005615234e+00 0.000000000000000000e+00 -6.719111930578947067e-03
1.006198406219482422e+00 -5.227332592010498047e+00 0.000000000000000000e+00 -1.881487481296062469e-02
